"IDX","Date","DJI","DAX","FTSE","N225"
"1",2007-01-04,1,1,1,1
"2",2007-01-05,0.993375313291862,0.987817622678612,0.989359010338794,0.984897714478956
"3",2007-01-09,0.994864801642228,0.991005965198158,0.985541609352632,0.993321274893383
"4",2007-01-10,0.996912809093687,0.983842765704272,0.979910958326706,0.976300717205724
"5",2007-01-11,1.00274744728205,1.00193274349596,0.990949594083028,0.97029446783781
"6",2007-01-12,1.00604050300124,1.00461015528764,0.992365198027676,0.982905047904368
"7",2007-01-16,1.00816456545986,1.00635561587901,0.988659168919994,0.991286627861447
"8",2007-01-17,1.00772873596545,1.00409029926298,0.986877684110068,0.994680069782648
"9",2007-01-18,1.00698993845647,1.00228038703456,0.987800191665341,1.00099458881479
"10",2007-01-19,1.00679768827501,1.01090285584749,0.992078923970097,0.997508857250696
"11",2007-01-22,0.999717141129347,1.00193427981385,0.989088579926833,1.00406310401874
"12",2007-01-23,1.00425532347732,1.00067875375562,0.99055194814697,1.00316361848801
"13",2007-01-24,1.01130378978561,1.01108267650817,1.00442179179259,1.00885867195187
"14",2007-01-25,1.00175223799698,1.00676917425737,0.997184635756323,1.00602932172101
"15",2007-01-26,1.00050711144832,1.00238822099875,0.990615555909019,1.00393344844674
"16",2007-01-29,1.00080843628456,1.00773251000207,0.992508334976937,1.00673004710387
"17",2007-01-30,1.00341480627526,1.01705472846568,0.992842373150946,1.00786689683586
"18",2007-01-31,1.01129745191509,1.01718655799537,0.986655017973596,1.00171433478531
"19",2007-02-01,1.01546302739279,1.02650124139954,0.999236550819151,1.00955590827447
"20",2007-02-02,1.01384537217465,1.03166724606008,1.003801479561,1.01114689018919
"21",2007-02-05,1.01450639329735,1.02991432337463,1.00491488818196,0.999488918422451
"22",2007-02-06,1.01487250573525,1.03016005872523,1.00943213058693,1.00306502620132
"23",2007-02-07,1.01491741887552,1.03613211083258,1.01312231588993,0.996464747268114
"24",2007-02-08,1.01257458102019,1.03031434750252,1.00944805185303,0.996473976209353
"25",2007-02-09,1.00802356636932,1.0354653548597,1.01523776125338,1.00868174609043
"26",2007-02-13,1.01395429042783,1.03310259277898,1.01507870287896,1.01543070129855
"27",2007-02-14,1.02092591940044,1.04296719977987,1.02134566486401,1.02299056653683
"28",2007-02-15,1.02278073778007,1.04258363585838,1.02327020916176,1.03132251272746
"29",2007-02-16,1.02298589846523,1.04235136134341,1.0210752346111,1.03007896723553
"30",2007-02-20,1.0245138055235,1.04622292019205,1.01992998329887,1.03373633482897
"31",2007-02-21,1.02064947668124,1.04004258928506,1.0111500076348,1.03224338243812
"32",2007-02-22,1.01645174216536,1.0448474892717,1.01493556577064,1.04351351295686
"33",2007-02-23,1.01336384713133,1.04767172789641,1.01821218387148,1.04810221721123
"34",2007-02-26,1.01214430698767,1.05291710823233,1.02349295291872,1.04965403230977
"35",2007-02-27,0.978811252672021,1.02176225610283,0.99985686305074,1.04415492535262
"36",2007-02-28,0.983008908987097,1.00614887324742,0.981628757754096,1.01443206077595
"37",2007-03-01,0.980261461705048,0.994881986620286,0.972801017973596,1.00575324092533
"38",2007-03-02,0.970627360476883,0.989350341747024,0.972832860664864,0.992178009918933
"39",2007-03-05,0.965524321237411,0.979049790235359,0.963687004135518,0.959004641369944
"40",2007-03-06,0.978118150792079,0.988103814100769,0.976379831398123,0.970659236675091
"41",2007-03-07,0.976905105000669,0.991512360237356,0.979242882137745,0.966056126246055
"42",2007-03-08,0.982373552470206,1.00581776318023,0.990567869413075,0.984823995374827
"43",2007-03-09,0.98362509525044,1.0063106973838,0.993351390965484,0.989072578892399
"44",2007-03-12,0.987014315120706,1.00615640845669,0.99145853427708,0.996468798975926
"45",2007-03-13,0.967571467999307,0.992447310808438,0.979990487513918,0.989925469437542
"46",2007-03-14,0.972173811941909,0.966034443496251,0.95446161841896,0.961000796947162
"47",2007-03-15,0.974279408354815,0.986676002591132,0.975536853030062,0.971574929152326
"48",2007-03-16,0.970331747584256,0.98583696116685,0.975123285827899,0.96487662069524
"49",2007-03-19,0.979606856733806,0.999552057706476,0.984475887068554,0.980170238194761
"50",2007-03-20,0.984568896882734,1.00387902094273,0.989390775409575,0.989024183134973
"51",2007-03-22,0.998433517591863,1.02735228060657,1.00493080960713,1.0037761059934
"52",2007-03-23,1.000025586405,1.03365997846978,1.00833464323207,1.00731484772792
"53",2007-03-26,0.99906895238968,1.02313615070528,1.00077937044695,1.00969771908515
"54",2007-03-27,0.99331764604949,1.02755902323816,1.00089074248449,1.00065581857043
"55",2007-03-28,0.985551273864903,1.02134877098948,0.996850675202799,0.994298643834722
"56",2007-03-29,0.989428435010065,1.03336332543294,1.00591700254493,0.994829308762739
"57",2007-03-30,0.989877096807376,1.03635231429979,1.00334022586289,0.996195644420071
"58",2007-04-02,0.992116571951541,1.03936983457063,1.00453316367107,0.98125700399616
"59",2007-04-03,1.00237241482481,1.05560951732736,1.01258153300461,0.993683230031878
"60",2007-04-04,1.00395485933065,1.0598571047384,1.01235886670908,1.0109728906252
"61",2007-04-05,1.00637062231821,1.06375258603736,1.01754410768252,1.00793780224121
"62",2007-04-10,1.00746426485958,1.07375494834412,1.0208048043582,1.01792240675304
"63",2007-04-11,1.00031486134698,1.07168137705633,1.02008904167329,1.0182324771891
"64",2007-04-12,1.00579050745673,1.07020111169239,1.02058213806267,1.01076141247583
"65",2007-04-13,1.01053142482279,1.08055704331394,1.02789882328615,1.00059234139212
"66",2007-04-16,1.01921123934167,1.09943368194062,1.03645621043423,1.01582552049419
